county_code,county_name,district_code,district_name,district_type,nces_id,website_raw,website_domain,website_flag,email_domain,assessed_domain,domain_source,domain_flag,domain_mismatch,shared_domain,shared_with_count
21,Agency,1431,Marie H. Katzenbach School for the Deaf,agency,,www.mksd.org,mksd.org,,mksd.org,mksd.org,supt_email,,False,False,0
01,Atlantic,0010,Absecon Public Schools District,regular,3400660,https://www.abseconschools.org/,abseconschools.org,,abseconschools.org,abseconschools.org,supt_email,,False,False,0
01,Atlantic,0110,Atlantic City School District,regular,3400960,http://www.acboe.org,acboe.org,,acboe.org,acboe.org,supt_email,,False,False,0
80,Atlantic,6060,Atlantic Community Charter School,charter,3400771,https://www.atlanticcommunitycharter.com,atlanticcommunitycharter.com,,atlanticcommunitycharter.com,atlanticcommunitycharter.com,supt_email,,False,False,0
01,Atlantic,0125,Atlantic County Special Services School District,special_services,3400006,www.acsssd.net,acsssd.net,,acitech.org,acitech.org,supt_email,,True,True,1
01,Atlantic,0120,Atlantic County Vocational School District,vocational,3400990,www.acitech.org,acitech.org,,acitech.org,acitech.org,supt_email,,False,True,1
01,Atlantic,0570,Brigantine Public School District,regular,3402340,www.brigantineschools.org,brigantineschools.org,,brigantineschools.org,brigantineschools.org,supt_email,,False,False,0
01,Atlantic,0590,Buena Regional School District,regular,3402400,www.buenaschools.org,buenaschools.org,,buena.k12.nj.us,buena.k12.nj.us,supt_email,,True,False,0
80,Atlantic,7410,Chartertech High School for the Performing Arts,charter,3400019,www.chartertech.org,chartertech.org,,chartertech.org,chartertech.org,supt_email,,False,False,0
01,Atlantic,0960,Corbin City School District,regular,,n/a,,missing,ocsdnj.org,ocsdnj.org,ba_email,,False,True,2
01,Atlantic,1300,Egg Harbor City School District,regular,3404530,www.eggharborcityschools.com,eggharborcityschools.com,,eggharborcityschools.com,eggharborcityschools.com,supt_email,,False,False,0
01,Atlantic,1310,Egg Harbor Township School District,regular,3404560,www.eht.k12.nj.us,eht.k12.nj.us,,eht.k12.nj.us,eht.k12.nj.us,supt_email,,False,False,0
01,Atlantic,1410,Estell Manor School District,regular,3404860,www.estellmanorschool.com,estellmanorschool.com,,estellmanorschool.com,estellmanorschool.com,supt_email,,False,False,0
01,Atlantic,1540,Folsom Borough School District,regular,3405280,http://www.folsomschool.org/,folsomschool.org,,folsomschool.org,folsomschool.org,supt_email,,False,False,0
01,Atlantic,1690,Galloway Township Public School District,regular,3405730,WWW.GTPS.K12.NJ.US,gtps.k12.nj.us,,gtps.k12.nj.us,gtps.k12.nj.us,supt_email,,False,False,0
01,Atlantic,1790,Greater Egg Harbor Regional High School District,regular,3406060,www.gehrhsd.net,gehrhsd.net,,gehrhsd.net,gehrhsd.net,supt_email,,False,False,0
01,Atlantic,1940,Hamilton Township School District,regular,3406510,www.hamiltonschools.org,hamiltonschools.org,,hamiltonschools.org,hamiltonschools.org,supt_email,,False,False,0
01,Atlantic,1960,Hammonton School District,regular,3406570,www.hammontonps.org,hammontonps.org,,hammontonps.org,hammontonps.org,supt_email,,False,False,0
01,Atlantic,2680,Linwood City School District,regular,3408670,www.linwoodschools.org,linwoodschools.org,,linwoodschools.org,linwoodschools.org,supt_email,,False,False,0
01,Atlantic,2780,Longport Board of Education,regular,,none,,missing,gmail.com,gmail.com,supt_email,consumer_provider,False,True,2
01,Atlantic,2910,Mainland Regional High School,regular,3409360,MAINLANDREGIONAL.NET,mainlandregional.net,,mainlandregional.net,mainlandregional.net,supt_email,,False,False,0
01,Atlantic,3020,Margate City School District,regular,3409690,www.margateschools.org,margateschools.org,,margateschools.org,margateschools.org,supt_email,,False,False,0
01,Atlantic,3480,Mullica Township School District,regular,3411070,www.mullicaschools.com,mullicaschools.com,,mullicaschools.com,mullicaschools.com,supt_email,,False,False,0
01,Atlantic,3720,Northfield City School District,regular,3411790,www.ncs-nj.org,ncs-nj.org,,ncs-nj.org,ncs-nj.org,supt_email,,False,False,0
01,Atlantic,4180,Pleasantville Public School District,regular,3413200,http://www.pps-nj.us/pps/,pps-nj.us,,pps-nj.us,pps-nj.us,supt_email,,False,False,0
01,Atlantic,4240,Port Republic School District,regular,3413380,www.portnj.org,portnj.org,,portnj.org,portnj.org,supt_email,,False,False,0
80,Atlantic,6104,Principle Academy Charter School,charter,,www.principleacademycharter.org,principleacademycharter.org,,principleacademycharter.org,principleacademycharter.org,supt_email,,False,False,0
01,Atlantic,4800,Somers Point School District,regular,3415030,www.sptsd.org,sptsd.org,,sptsd.org,sptsd.org,supt_email,,False,False,0
01,Atlantic,5350,Ventnor City School District,regular,3416680,www.veccnj.org,veccnj.org,,veccnj.org,veccnj.org,supt_email,,False,False,0
01,Atlantic,5760,Weymouth Township School District,regular,3417850,www.weymouthtownshipschool.org,weymouthtownshipschool.org,,weymouthtsd.org,weymouthtsd.org,supt_email,,True,False,0
03,Bergen,0040,Allendale Public School District,regular,3400750,www.allendalek8.com,allendalek8.com,,allendalek8.com,allendalek8.com,supt_email,,False,False,0
03,Bergen,0080,Alpine School District,regular,3400870,www.alpineschool.org,alpineschool.org,,alpineschool.org,alpineschool.org,supt_email,,False,False,0
80,Bergen,6013,Bergen Arts and Science Charter School,charter,3400715,https://ilearnschools.org/bergen-arts-science-charter-school/,ilearnschools.org,,ilearnschools.org,ilearnschools.org,supt_email,,False,True,3
03,Bergen,0285,Bergen County Special Services School District,special_services,3401450,bcss.bergen.org,bergen.org,,bergen.org,bergen.org,supt_email,,False,True,1
03,Bergen,0290,Bergen County Vocational Technical School District,vocational,3401470,bcts.bergen.org,bergen.org,,bergen.org,bergen.org,supt_email,,False,True,1
03,Bergen,0300,Bergenfield Borough School District,regular,3401500,www.bergenfield.org,bergenfield.org,,bergenfield.org,bergenfield.org,supt_email,,False,False,0
03,Bergen,0440,Bogota Public School District,regular,3401920,www.bogotaboe.com,bogotaboe.com,,bogotaboe.com,bogotaboe.com,supt_email,,False,False,0
03,Bergen,0740,Carlstadt Public School District,regular,3402790,www.carlstadt.org,carlstadt.org,,carlstadtps.org,carlstadtps.org,supt_email,,True,False,0
03,Bergen,0745,Carlstadt-East Rutherford Regional High School District,regular,3402800,www.bectonhs.org,bectonhs.org,,bectonhs.org,bectonhs.org,supt_email,,False,False,0
03,Bergen,0890,Cliffside Park School District,regular,3403270,www.cliffsidepark.edu,cliffsidepark.edu,,cliffsidepark.edu,cliffsidepark.edu,supt_email,,False,False,0
03,Bergen,0930,Closter Public School District,regular,3403390,www.closterschools.org,closterschools.org,,nvnet.org,nvnet.org,supt_email,,True,True,5
03,Bergen,0990,Cresskill Public School District,regular,3403600,www.cboek12.org,cboek12.org,,cresskillnj.net,cresskillnj.net,supt_email,,True,False,0
03,Bergen,1070,Demarest School District,regular,3403810,http://demarestpublicschools.org,demarestpublicschools.org,,nvnet.org,nvnet.org,supt_email,,True,True,5
03,Bergen,1130,Dumont Public School District,regular,3403990,www.dumontnj.org,dumontnj.org,,dumontnj.org,dumontnj.org,supt_email,,False,False,0
03,Bergen,1230,East Rutherford School District,regular,3404290,www.erboe.net,erboe.net,,erboe.net,erboe.net,supt_email,,False,False,0
03,Bergen,1270,Edgewater School District,regular,3404440,www.edgewaterschools.org,edgewaterschools.org,,edgewaterschools.org,edgewaterschools.org,supt_email,,False,False,0
03,Bergen,1345,Elmwood Park School District,regular,3404660,https://www.elmwoodparkschools.org/https://www.elmwoodparkschools.org/,elmwoodparkschools.org,,epps.org,epps.org,supt_email,,True,False,0
03,Bergen,1360,Emerson Public School District,regular,3404710,www.emersonschools.org,emersonschools.org,,emersonschools.org,emersonschools.org,supt_email,,False,False,0
03,Bergen,1380,Englewood Cliffs School District,regular,3404770,www.englewoodcliffs.org,englewoodcliffs.org,,englewoodcliffs.org,englewoodcliffs.org,supt_email,,False,False,0
80,Bergen,6430,Englewood on the Palisades Charter School,charter,3400014,https://www.englewoodcharter.org/,englewoodcharter.org,,englewoodcharter.org,englewoodcharter.org,supt_email,,False,False,0
03,Bergen,1370,Englewood Public School District,regular,3404740,https://www.epsd.org,epsd.org,,epsd.org,epsd.org,supt_email,,False,False,0
03,Bergen,1450,Fair Lawn Public School District,regular,3404980,www.fairlawnschools.org,fairlawnschools.org,,fairlawnschools.org,fairlawnschools.org,supt_email,,False,False,0
03,Bergen,1470,Fairview Public School District,regular,3405070,www.fairviewps.org,fairviewps.org,,fairviewps.org,fairviewps.org,supt_email,,False,False,0
03,Bergen,1550,Fort Lee School District,regular,3405310,www.flboe.com,flboe.com,,flboe.com,flboe.com,supt_email,,False,False,0
03,Bergen,1580,Franklin Lakes School District,regular,3405370,www.franklinlakes.k12.nj.us,franklinlakes.k12.nj.us,,franklinlakes.k12.nj.us,franklinlakes.k12.nj.us,supt_email,,False,False,0
03,Bergen,1700,Garfield Public School District,regular,3405760,gboe.org,gboe.org,,gboe.org,gboe.org,supt_email,,False,False,0
03,Bergen,1760,Glen Rock Public School District,regular,3405970,WWW.GLENROCKNJ.ORG,glenrocknj.org,,glenrocknj.org,glenrocknj.org,supt_email,,False,False,0
03,Bergen,1860,Hackensack School District,regular,3406270,hackensackschools.org,hackensackschools.org,,hackensackschools.org,hackensackschools.org,supt_email,,False,False,0
03,Bergen,2050,Harrington Park School District,regular,3406840,www.hpsd.org,hpsd.org,,hpsd.org,hpsd.org,supt_email,,False,False,0
03,Bergen,2080,Hasbrouck Heights School District,regular,3406930,www.hhschools.org,hhschools.org,,hhschools.org,hhschools.org,supt_email,,False,False,0
03,Bergen,2090,Haworth Public School District,regular,3406960,www.haworth.org,haworth.org,,nvnet.org,nvnet.org,supt_email,,True,True,5
03,Bergen,2180,Hillsdale School District,regular,3407260,www.hillsdaleschools.com,hillsdaleschools.com,,hillsdaleschools.com,hillsdaleschools.com,supt_email,,False,False,0
03,Bergen,2200,Ho-Ho-Kus School District,regular,3407320,www.hohokus.org,hohokus.org,,hohokus.org,hohokus.org,supt_email,,False,False,0
03,Bergen,2620,Leonia Public School District,regular,3408520,www.leoniaschools.org,leoniaschools.org,,leoniaschools.org,leoniaschools.org,supt_email,,False,False,0
03,Bergen,2710,Little Ferry Public School District,regular,3408760,http://www.lfboe.org,lfboe.org,,lfboe.org,lfboe.org,supt_email,,False,False,0
03,Bergen,2740,Lodi School District,regular,3408850,https://www.lodinjschools.org/,lodinjschools.org,,lodi.k12.nj.us,lodi.k12.nj.us,supt_email,,True,False,0
03,Bergen,2860,Lyndhurst Public School District,regular,3409210,www.lyndhurstschools.net,lyndhurstschools.net,,lyndhurst.k12.nj.us,lyndhurst.k12.nj.us,supt_email,,True,False,0
03,Bergen,2900,Mahwah Township Public School District,regular,3409330,www.mahwah.k12.nj.us,mahwah.k12.nj.us,,mahwah.k12.nj.us,mahwah.k12.nj.us,supt_email,,False,False,0
03,Bergen,3060,Maywood School District,regular,3409810,WWW.MAYWOODSCHOOLS.ORG,maywoodschools.org,,maywoodschools.org,maywoodschools.org,supt_email,,False,False,0
03,Bergen,3170,Midland Park School District,regular,3410140,www.mpsnj.org,mpsnj.org,,mpsnj.org,mpsnj.org,supt_email,,False,False,0
03,Bergen,3330,Montvale Board of Education School District,regular,3410620,www.montvalek8.org,montvalek8.org,,montvalek8.org,montvalek8.org,supt_email,,False,False,0
03,Bergen,3350,Moonachie School District,regular,3410680,www.moonachieschool.org,moonachieschool.org,,moonachieschool.org,moonachieschool.org,supt_email,,False,False,0
03,Bergen,3550,New Milford Public School District,regular,3411280,www.nmpsd.org,nmpsd.org,,nmpsd.org,nmpsd.org,supt_email,,False,False,0
03,Bergen,3600,North Arlington School District,regular,3411430,www.navikings.org,navikings.org,,navikings.org,navikings.org,supt_email,,False,False,0
03,Bergen,3700,Northern Highlands Regional High School District,regular,3411730,www.northernhighlands.org,northernhighlands.org,,northernhighlands.org,northernhighlands.org,supt_email,,False,False,0
03,Bergen,3710,Northern Valley Regional High School District,regular,3411760,www.nvnet.org,nvnet.org,,nvnet.org,nvnet.org,supt_email,,False,True,5
03,Bergen,3730,Northvale Public School District,regular,3411820,www.NORTHVALESCHOOL.ORG,northvaleschool.org,,nvnet.org,nvnet.org,supt_email,,True,True,5
03,Bergen,3740,Norwood Public School District,regular,3411850,www.wearenorwood.org,wearenorwood.org,,wearenorwood.com,wearenorwood.com,supt_email,,True,False,0
03,Bergen,3760,Oakland Public School District,regular,3411910,www.oaklandschoolsnj.org,oaklandschoolsnj.org,,oaklandschoolsnj.org,oaklandschoolsnj.org,supt_email,,False,False,0
03,Bergen,3850,Old Tappan Public School District,regular,3412180,www.oldtappanschools.org,oldtappanschools.org,,nvnet.org,nvnet.org,supt_email,,True,True,5
03,Bergen,3870,Oradell Public School District,regular,3412240,oradellschool.org,oradellschool.org,,oradellschool.org,oradellschool.org,supt_email,,False,False,0
03,Bergen,3910,Palisades Park School District,regular,3412360,palpkschools.org,palpkschools.org,,palpkschools.org,palpkschools.org,supt_email,,False,False,0
03,Bergen,3930,Paramus Public School District,regular,3412420,http://www.paramus.k12.nj.us,paramus.k12.nj.us,,paramusschools.org,paramusschools.org,supt_email,,True,False,0
03,Bergen,3940,Park Ridge School District,regular,3412450,https://www.parkridgeschools.org/,parkridgeschools.org,,parkridge.k12.nj.us,parkridge.k12.nj.us,supt_email,,True,False,0
03,Bergen,3960,Pascack Valley Regional High School District,regular,3412510,www.pascack.org,pascack.org,,pascack.org,pascack.org,supt_email,,False,False,0
03,Bergen,4300,Ramapo Indian Hills Regional High School District,regular,3413560,www.rih.org,rih.org,,rih.org,rih.org,supt_email,,False,False,0
03,Bergen,4310,Ramsey School District,regular,3413590,www.ramsey.k12.nj.us,ramsey.k12.nj.us,,ramsey.k12.nj.us,ramsey.k12.nj.us,supt_email,,False,False,0
03,Bergen,4380,Ridgefield Park Public School District,regular,3413800,www.rpps.net,rpps.net,,rpschools.net,rpschools.net,supt_email,,True,False,0
03,Bergen,4370,Ridgefield School District,regular,3413770,www.ridgefieldschools.com,ridgefieldschools.com,,ridgefieldschools.com,ridgefieldschools.com,supt_email,,False,False,0
03,Bergen,4390,Ridgewood Public School District,regular,3413830,www.rpsnj.us,rpsnj.us,,rpsnj.us,rpsnj.us,supt_email,,False,False,0
03,Bergen,4405,River Dell Regional School District,regular,3412260,www.riverdell.org,riverdell.org,,riverdell.org,riverdell.org,supt_email,,False,False,0
03,Bergen,4410,River Edge School District,regular,3413890,www.riveredgeschools.org,riveredgeschools.org,,riveredgeschools.org,riveredgeschools.org,supt_email,,False,False,0
03,Bergen,4430,River Vale Public School District,regular,3413950,www.rivervaleschools.com,rivervaleschools.com,,rivervaleschools.com,rivervaleschools.com,supt_email,,False,False,0
03,Bergen,4470,Rochelle Park School District,regular,3414070,www.rochellepark.org,rochellepark.org,,rochellepark.org,rochellepark.org,supt_email,,False,False,0
03,Bergen,4500,Rockleigh School District,regular,,none,,missing,aol.com,aol.com,ba_email,consumer_provider,False,False,0
03,Bergen,4600,Rutherford School District,regular,3414460,www.rutherfordschools.org,rutherfordschools.org,,rutherfordschools.org,rutherfordschools.org,supt_email,,False,False,0
03,Bergen,4610,Saddle Brook School District,regular,3414490,www.sbpsnj.org,sbpsnj.org,,sbpsnj.org,sbpsnj.org,supt_email,,False,False,0
03,Bergen,4620,Saddle River School District,regular,3414520,www.wandellschool.org,wandellschool.org,,wandellschool.org,wandellschool.org,supt_email,,False,False,0
03,Bergen,4845,South  Bergen Jointure Commission School District,regular,3400007,www.njsbjc.org,njsbjc.org,,njsbjc.org,njsbjc.org,supt_email,,False,False,0
03,Bergen,4870,South Hackensack School District,regular,3415240,http://www.shmemorial.org,shmemorial.org,,shmemorial.org,shmemorial.org,supt_email,,False,False,0
80,Bergen,7890,Teaneck Community Charter School,charter,3400015,www.tccsnj.org,tccsnj.org,,tccsnj.org,tccsnj.org,supt_email,,False,False,0
03,Bergen,5150,Teaneck School District,regular,3416080,www.teaneckschools.org,teaneckschools.org,,teaneckschools.org,teaneckschools.org,supt_email,,False,False,0
03,Bergen,5160,Tenafly Public School District,regular,3416110,www.tenaflyschools.org,tenaflyschools.org,,tenafly.k12.nj.us,tenafly.k12.nj.us,supt_email,,True,False,0
03,Bergen,5330,Upper Saddle River School District,regular,3416620,http://www.usrschoolsk8.com,usrschoolsk8.com,,usrschoolsk8.com,usrschoolsk8.com,supt_email,,False,False,0
03,Bergen,5410,Waldwick School District,regular,3416860,www.waldwickschools.org,waldwickschools.org,,waldwickschools.org,waldwickschools.org,supt_email,,False,False,0
03,Bergen,5430,Wallington Boro School District,regular,3416920,www.wboe.org,wboe.org,,wboe.org,wboe.org,supt_email,,False,False,0
03,Bergen,5755,Westwood Regional School District,regular,3417820,www.wwrsd.org,wwrsd.org,,wwrsd.org,wwrsd.org,supt_email,,False,False,0
03,Bergen,5830,Wood-Ridge School District,regular,3418300,www.wood-ridgeschools.org,wood-ridgeschools.org,,wood-ridgeschools.org,wood-ridgeschools.org,supt_email,,False,False,0
03,Bergen,5880,Woodcliff Lake School District,regular,3418210,www.woodcliff-lake.com,woodcliff-lake.com,,woodcliff-lake.com,woodcliff-lake.com,supt_email,,False,False,0
03,Bergen,5920,Wyckoff Township Public School District,regular,3418360,www.wyckoffps.org,wyckoffps.org,,wyckoffschools.org,wyckoffschools.org,supt_email,,True,False,0
